,begin,open,high,low,close,volume
0,2024-08-02 09:59:00+00:00,287.21,287.21,287.21,287.21,9600.0
1,2024-08-02 10:00:00+00:00,287.21,287.39,286.34,286.43,343600.0
2,2024-08-02 10:01:00+00:00,286.41,286.47,286.09,286.39,206200.0
3,2024-08-02 10:02:00+00:00,286.39,286.51,286.09,286.09,307140.0
4,2024-08-02 10:03:00+00:00,286.1,286.14,285.55,285.98,313480.0
5,2024-08-02 10:04:00+00:00,285.97,286.25,285.93,286.25,79590.0
6,2024-08-02 10:05:00+00:00,286.25,286.3,286.0,286.16,67860.0
7,2024-08-02 10:06:00+00:00,286.16,286.35,286.15,286.35,38770.0
8,2024-08-02 10:07:00+00:00,286.35,286.85,286.35,286.72,201900.0
9,2024-08-02 10:08:00+00:00,286.72,286.78,286.7,286.77,60230.0
10,2024-08-02 10:09:00+00:00,286.77,286.77,286.61,286.61,121140.0
11,2024-08-02 10:10:00+00:00,286.6,286.61,286.21,286.21,50490.0
12,2024-08-02 10:11:00+00:00,286.21,286.21,285.99,286.1,139930.0
13,2024-08-02 10:12:00+00:00,286.09,286.38,285.99,286.01,179060.0
14,2024-08-02 10:13:00+00:00,286.03,286.17,285.55,285.56,134150.0
15,2024-08-02 10:14:00+00:00,285.55,285.88,285.5,285.68,331790.0
16,2024-08-02 10:15:00+00:00,285.68,285.68,285.2,285.36,350870.0
17,2024-08-02 10:16:00+00:00,285.36,285.85,285.36,285.85,44160.0
18,2024-08-02 10:17:00+00:00,285.86,286.18,285.78,286.11,211410.0
19,2024-08-02 10:18:00+00:00,286.11,286.17,286.0,286.0,114010.0
20,2024-08-02 10:19:00+00:00,286.01,286.02,285.52,285.7,244810.0
21,2024-08-02 10:20:00+00:00,285.7,285.71,285.5,285.6,173140.0
22,2024-08-02 10:21:00+00:00,285.6,286.0,285.59,286.0,56890.0
23,2024-08-02 10:22:00+00:00,286.01,286.01,285.93,285.93,57650.0
24,2024-08-02 10:23:00+00:00,285.93,286.07,285.92,286.07,17790.0
25,2024-08-02 10:24:00+00:00,286.06,286.09,285.85,285.95,34980.0
26,2024-08-02 10:25:00+00:00,285.95,285.95,285.6,285.6,50420.0
27,2024-08-02 10:26:00+00:00,285.6,285.67,285.56,285.67,28790.0
28,2024-08-02 10:27:00+00:00,285.67,285.78,285.66,285.78,8860.0
29,2024-08-02 10:28:00+00:00,285.78,285.8,285.7,285.76,118130.0
30,2024-08-02 10:29:00+00:00,285.76,285.94,285.75,285.93,37810.0
31,2024-08-02 10:30:00+00:00,285.95,286.52,285.95,286.51,143260.0
32,2024-08-02 10:31:00+00:00,286.51,286.59,286.35,286.41,63230.0
33,2024-08-02 10:32:00+00:00,286.4,286.42,286.2,286.27,19690.0
34,2024-08-02 10:33:00+00:00,286.26,286.41,286.24,286.41,23200.0
35,2024-08-02 10:34:00+00:00,286.41,286.5,286.4,286.42,36120.0
36,2024-08-02 10:35:00+00:00,286.43,286.46,286.35,286.42,26780.0
37,2024-08-02 10:36:00+00:00,286.4,286.41,286.27,286.28,23950.0
38,2024-08-02 10:37:00+00:00,286.28,286.31,286.27,286.28,9510.0
39,2024-08-02 10:38:00+00:00,286.29,286.29,286.27,286.29,11150.0
40,2024-08-02 10:39:00+00:00,286.29,286.47,286.29,286.46,29400.0
41,2024-08-02 10:40:00+00:00,286.47,286.58,286.46,286.53,36060.0
42,2024-08-02 10:41:00+00:00,286.51,286.59,286.5,286.58,11820.0
